K04D0012_H0011:1b-0	@1b [dd] *//	[dd]_4 
K04D0012_H0011:75b-12	byug pa dang /	'byug_0 ba_5 dang_8 
K04D0012_H0011:75b-13	phye ma dang /	'byed_0 ma_5 dang_8 
K04D0012_H0011:75b-14	na bza' dang /	na_0 bza'_3 dang_8 
K04D0012_H0011:75b-15	gdugs dang /	gdugs_0 dang_6 
K04D0012_H0011:75b-16	rgyal mtshan dang /	rgyal_0 mtshan_6 dang_13 
K04D0012_H0011:75b-17	dril bu dang /	'dril_0 bu_5 dang_8 
K04D0012_H0011:75b-18	ba dan dag dang /	ba_0 dan_3 'dag_7 dang_11 
K04D0012_H0011:75b-19	kho ra yug tu mar me'i phreng ba dag dang /	kho_0 ra_4 yug_7 tu_11 mar_14 me_18 phreng_23 ba_30 'dag_33 dang_37 
K04D0012_H0011:75b-20	mchod pa rnam pa mang po dag gis mchod par bgyid de /	mchod_0 ba_6 rnam_9 ba_14 mang_17 po_22 'dag_25 gis_29 mchod_33 ba_39 bgyid_43 de_49 
K04D0012_H0011:75b-21	bkur stir bgyid /	bkur_0 stir_5 bgyid_10 
K04D0012_H0011:75b-22	bla mar bgyid /	bla_0 mar_4 bgyid_8 
K04D0012_H0011:75b-23	rjed par bgyid /	rjed_0 ba_5 bgyid_9 
K04D0012_H0011:75b-24	mchod par bgyid /	mchod_0 ba_6 bgyid_10 
K04D0012_H0011:75b-25	ri mor bgyid /	ri_0 mor_3 bgyid_7 
K04D0012_H0011:75b-26	bsnyen bkur bgyid pa'i rigs kyi bu'am rigs kyi bu mo de la bsrung ba dang /	snyen_0 bkur_7 bgyid_12 ba_18 rigs_23 kyi_28 bu_32 rigs_38 kyi_43 bu_47 mo_50 de_53 la_56 bsrung_59 ba_66 dang_69 
K04D0012_H0011:75b-27	bskyab pa dang /	bskyab_0 ba_7 dang_10 
K04D0012_H0011:75b-28	sba ba bgyid par 'gyur na /	sbed_0 ba_4 bgyid_7 ba_13 'gyur_17 na_23 
K04D0012_H0011:75b-29	gang shes rab kyi pha rol tu phyin pa 'di 'dri ba dang /	gang_0 shes_5 rab_10 kyi_14 pha_18 rol_22 tu_26 phyin_29 ba_35 'di_38 'bri_42 ba_47 dang_50 
K04D0012_H0011:75b-30	'dzin pa dang /	'dzin_0 ba_6 dang_9 
K04D0012_H0011:75b-31	'chang ba dang /	'chang_0 ba_7 dang_10 
K04D0012_H0011:75b-32	klog pa dang /	klog_0 ba_5 dang_8 
K04D0012_H0011:75b-33	kun chub par bgyid pa dang /	kun_0 chub_4 ba_9 bgyid_13 ba_19 dang_22 
K04D0012_H0011:75b-34	rab tu 'don pa dang /	rab_0 tu_4 'don_7 ba_12 dang_15 
K04D0012_H0011:75b-35	ston pa dang /	ston_0 ba_5 dang_8 
K04D0012_H0011:75b-36	nye bar ston pa dang /	nye_0 ba_4 ston_8 ba_13 dang_16 
K04D0012_H0011:75b-37	lung 'bogs pa dang /	lung_0 'bogs_5 ba_11 dang_14 
K04D0012_H0011:75b-38	kha ton du bgyid pa dang /	kha_0 ton_4 du_8 bgyid_11 ba_17 dang_20 
K04D0012_H0011:75b-39	me tog dang /	me_0 tog_3 dang_7 
K04D0012_H0011:75b-40	bdug pa dang /	bdug_0 ba_5 dang_8 
K04D0012_H0011:75b-41	dri dang /	'dri_0 dang_4 
K04D0012_H0011:75b-42	phreng ba dang /	phreng_0 ba_7 dang_10 
K04D0012_H0011:75b-43	byug pa dang /	'byug_0 ba_5 dang_8 
K04D0012_H0011:75b-44	phye ma dang /	'byed_0 ma_5 dang_8 
K04D0012_H0011:75b-45	na bza' dang /	na_0 bza'_3 dang_8 
K04D0012_H0011:75b-46	gdugs dang /	gdugs_0 dang_6 
K04D0012_H0011:75b-47	rgyal mtshan dang /	rgyal_0 mtshan_6 dang_13 
K04D0012_H0011:76a-0	dril @76a *//	'dril_0 
K04D0012_H0011:76a-1	bu dang /	bu_0 dang_3 
K04D0012_H0011:76a-2	ba dan dag dang /	ba_0 dan_3 'dag_7 dang_11 
K04D0012_H0011:76a-3	kho ra yug tu mar me'i phreng ba dag dang /	kho_0 ra_4 yug_7 tu_11 mar_14 me_18 phreng_23 ba_30 'dag_33 dang_37 
K04D0012_H0011:76a-4	mchod pa rnam pa mang po dag gis kyang mchod par bgyid de /	mchod_0 ba_6 rnam_9 ba_14 mang_17 po_22 'dag_25 gis_29 kyang_33 mchod_39 ba_45 bgyid_49 de_55 
K04D0012_H0011:76a-5	bkur stir bgyid /	bkur_0 stir_5 bgyid_10 
K04D0012_H0011:76a-6	bla mar bgyid /	bla_0 mar_4 bgyid_8 
K04D0012_H0011:76a-7	rjed par bgyid /	rjed_0 ba_5 bgyid_9 
K04D0012_H0011:76a-8	mchod par bgyid /	mchod_0 ba_6 bgyid_10 
K04D0012_H0011:76a-9	ri mor bgyid /	ri_0 mor_3 bgyid_7 
K04D0012_H0011:76a-10	bsnyen bkur bgyid pa lta smos kyang ci 'tshal /	snyen_0 bkur_7 bgyid_12 ba_18 lta_21 smos_25 kyang_30 ci_36 'tshal_39 
K04D0012_H0011:76a-11	bcom ldan 'das kyis bka' stsal pa /	'joms_0 ldan_5 'da'_10 kyis_15 bka'_20 stsal_25 ba_31 
K04D0012_H0011:76a-12	koo shi ka /	koo_0 'chi_4 ka_8 
K04D0012_H0011:76a-13	legs so; ;legs so //	legs_0 so;_5 ;legs_9 so_15 
K04D0012_H0011:76a-14	koo shi ka /	koo_0 'chi_4 ka_8 
K04D0012_H0011:76a-15	yang rigs kyi bu'am rigs kyi bu mo de shes	yang_0 rigs_5 kyi_10 bu_14 rigs_20 kyi_25 bu_29 mo_32 de_35 shes_38 
K04D0012_H0011:76a-16	rab kyi pha rol tu phyin pa 'di kha ton	rab_0 kyi_4 pha_8 rol_12 tu_16 phyin_19 ba_25 'di_28 kha_32 ton_36 
K04D0012_H0011:76a-17	du byed pa na /	du_0 byed_3 ba_8 na_11 
K04D0012_H0011:76a-18	de nyid du lha'i bu brgya phrag mang po 'ong bar 'gyur /	de_0 nyid_3 du_8 lha_11 bu_17 brgya_20 phrag_26 mang_32 po_37 'ong_40 ba_45 'gyur_49 
K04D0012_H0011:76a-19	lha'i bu stong phrag mang po dang /	lha_0 bu_6 stong_9 phrag_15 mang_21 po_26 dang_29 
K04D0012_H0011:76a-20	lha'i bu brgya stong phrag mang po rnams chos nyan pa'i phyir nye bar 'ong bar 'gyur ro //	lha_0 bu_6 brgya_9 stong_15 phrag_21 mang_27 po_32 rnams_35 chos_41 nyan_46 ba_51 phyir_56 nye_62 ba_66 'ong_70 ba_75 'gyur_79 ro_85 
K04D0012_H0011:76a-21	lha'i bu de dag chos nyan pa na chos smra ba de'i spobs pa nye bar bsgrub bo //	lha_0 bu_6 de_9 'dag_12 chos_16 nyan_21 ba_26 na_29 chos_32 smra_37 ba_42 de_45 spobs_50 ba_56 nye_59 ba_63 sgrub_67 'bo_74 
K04D0012_H0011:76a-22	snyam du sems par 'gyur ro //	snyam_0 du_6 sems_9 ba_14 'gyur_18 ro_24 
K04D0012_H0011:76a-23	gang gi tshe yang chos smra ba de mi smra	gang_0 gi_5 tshe_8 yang_13 chos_18 smra_23 ba_28 de_31 mi_34 smra_37 
K04D0012_H0011:76a-24	bar 'dod par gyur ba de'i tshe yang lha'i bu	ba_0 'dod_4 ba_9 gyur_13 ba_18 de_21 tshe_26 yang_31 lha_36 bu_42 
K04D0012_H0011:76a-25	de dag gis chos la gus pa de nyid kyis	de_0 'dag_3 gis_7 chos_11 la_16 gus_19 ba_23 de_26 nyid_29 kyis_34 
K04D0012_H0011:76a-26	rigs kyi bu'am rigs kyi bu mo de ji ltar	rigs_0 kyi_5 bu_9 rigs_15 kyi_20 bu_24 mo_27 de_30 ji_33 ltar_36 
K04D0012_H0011:76a-27	smra ba nyid du 'dun pa de ltar spobs pa	smra_0 ba_5 nyid_8 du_13 'dun_16 ba_21 de_24 ltar_27 spobs_32 ba_38 
K04D0012_H0011:76a-28	nye bar sgrub par sems so //	nye_0 ba_4 sgrub_8 ba_14 sems_18 so_23 
K04D0012_H0011:76a-29	koo shi ka /	koo_0 'chi_4 ka_8 
K04D0012_H0011:76a-30	rigs kyi bu'am rigs kyi bu mo gang shes rab	rigs_0 kyi_5 bu_9 rigs_15 kyi_20 bu_24 mo_27 gang_30 shes_35 rab_40 
K04D0012_H0011:76a-31	kyi pha rol tu phyin pa 'di 'dzin pa dang	kyi_0 pha_4 rol_8 tu_12 phyin_15 ba_21 'di_24 'dzin_28 ba_34 dang_37 
K04D0012_H0011:76a-32	/ 'chang ba dang /	'chang_2 ba_9 dang_12 
K04D0012_H0011:76a-33	klog pa dang /	klog_0 ba_5 dang_8 
K04D0012_H0011:76a-34	kun chub par byed pa dang /	kun_0 chub_4 ba_9 byed_13 ba_18 dang_21 
K04D0012_H0011:76a-35	rab tu 'don pa dang /	rab_0 tu_4 'don_7 ba_12 dang_15 
K04D0012_H0011:76a-36	ston pa dang /	ston_0 ba_5 dang_8 
K04D0012_H0011:76a-37	nye bar ston pa dang /	nye_0 ba_4 ston_8 ba_13 dang_16 
K04D0012_H0011:76a-38	lung 'bogs pa dang /	lung_0 'bogs_5 ba_11 dang_14 
K04D0012_H0011:76b-0	kha ton byed par 'gyur ba @76b de dag tshe	kha_0 ton_4 byed_8 ba_13 'gyur_17 ba_23 de_31 'dag_34 tshe_38 
K04D0012_H0011:76b-1	'di la yon tan 'di dag kyang yongs su 'dzin	'di_0 la_4 yon_7 tan_11 'di_15 'dag_19 kyang_23 yongs_29 su_35 'dzin_38 
K04D0012_H0011:76b-2	par 'gyur ro // koo shi ka /	ba_0 'gyur_4 ro_10 koo_16 'chi_20 ka_24 
K04D0012_H0011:76b-3	gzhan yang rigs kyi bu'am rigs kyi bu mo de	gzhan_0 yang_6 rigs_11 kyi_16 bu_20 rigs_26 kyi_31 bu_35 mo_38 de_41 
K04D0012_H0011:76b-4	shes rab kyi pha rol tu phyin pa 'di 'chad	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 'di_33 'chad_37 
K04D0012_H0011:76b-5	pa na / nga la klan ka tshol ba'i bsam pas 'ga' zhig rgol na ma rung ngo //	ba_0 na_3 nga_8 la_12 klan_15 ka_20 tshol_23 ba_29 bsam_34 ba_39 'ga'_43 'jig_48 rgol_53 na_58 ma_61 rung_64 ngo_69 
K04D0012_H0011:76b-6	snyam du 'khor gyi mdun du sems zhum par mi 'gyur ro //	snyam_0 du_6 'khor_9 gyi_15 mdun_19 du_24 sems_27 zhum_32 ba_37 mi_41 'gyur_44 ro_50 
K04D0012_H0011:76b-7	de ci'i phyir zhe na /	de_0 ci_3 phyir_8 zhe_14 na_18 
K04D0012_H0011:76b-8	'di ltar /	'di_0 ltar_4 
K04D0012_H0011:76b-9	de la shes rab kyi pha rol tu phyin pas bsrung ba dang /	de_0 la_3 shes_6 rab_11 kyi_15 pha_19 rol_23 tu_27 phyin_30 ba_36 bsrung_40 ba_47 dang_50 
K04D0012_H0011:76b-10	bskyab pa dang /	bskyab_0 ba_7 dang_10 
K04D0012_H0011:76b-11	sba ba byed de /	sbed_0 ba_4 byed_7 de_12 
K04D0012_H0011:76b-12	shes rab kyi pha rol tu phyin pa la gnas pa des ni /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 gnas_36 ba_41 des_44 ni_48 
K04D0012_H0011:76b-13	klan ka tshol ba yang yang dag par rjes su mi mthong ngo //	klan_0 ka_5 tshol_8 ba_14 yang_17 yang_22 'dag_27 ba_31 rjes_35 su_40 mi_43 mthong_46 ngo_53 
K04D0012_H0011:76b-14	shes rab kyi pha rol tu phyin pa la gnas pas ni /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 gnas_36 ba_41 ni_45 
K04D0012_H0011:76b-15	klan ka tshol bar byed pa'ang yang dag par rjes su mi mthong ngo //	klan_0 ka_5 tshol_8 ba_14 byed_18 ba_23 yang_30 'dag_35 ba_39 rjes_43 su_48 mi_51 mthong_54 ngo_61 
K04D0012_H0011:76b-16	gang la klan ka btsal bar bya ba de'ang yang dag par rjes su mi mthong ngo //	gang_0 la_5 klan_8 ka_13 btsal_16 ba_22 byed_26 ba_30 de_33 yang_40 'dag_45 ba_49 rjes_53 su_58 mi_61 mthong_64 ngo_71 
K04D0012_H0011:76b-17	shes rab kyi pha rol tu phyin pa de yang yang dag par rjes su mi mthong ste /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 de_33 yang_36 yang_41 'dag_46 ba_50 rjes_54 su_59 mi_62 mthong_65 ste_72 
K04D0012_H0011:76b-18	de ltar shes rab kyi pha rol tu phyin pas	de_0 ltar_3 shes_8 rab_13 kyi_17 pha_21 rol_25 tu_29 phyin_32 ba_38 
K04D0012_H0011:76b-19	yongs su bzung ba'i rigs kyi bu'am rigs kyi bu	yongs_0 su_6 bzung_9 ba_15 rigs_20 kyi_25 bu_29 rigs_35 kyi_40 bu_44 
K04D0012_H0011:76b-20	mo la rnam grangs 'dis rgol ba gang yang mi	mo_0 la_3 rnam_6 grangs_11 'dis_18 rgol_23 ba_28 gang_31 yang_36 mi_41 
K04D0012_H0011:76b-21	'byung ngo // de'ang mi dngang /	'byung_0 ngo_7 de_14 mi_21 dngang_24 
K04D0012_H0011:76b-22	kun tu mi skrag /	kun_0 tu_4 mi_7 skrag_10 
K04D0012_H0011:76b-23	kun tu skrag pa dang ldan par mi byed do //	kun_0 tu_4 skrag_7 ba_13 dang_16 ldan_21 ba_26 mi_30 byed_33 do_38 
K04D0012_H0011:76b-24	koo shi ka /	koo_0 'chi_4 ka_8 
K04D0012_H0011:76b-25	rigs kyi bu'am rigs kyi bu mo gang shes rab	rigs_0 kyi_5 bu_9 rigs_15 kyi_20 bu_24 mo_27 gang_30 shes_35 rab_40 
K04D0012_H0011:76b-26	kyi pha rol tu phyin pa 'di 'dzin pa dang	kyi_0 pha_4 rol_8 tu_12 phyin_15 ba_21 'di_24 'dzin_28 ba_34 dang_37 
K04D0012_H0011:76b-27	/ 'chang ba dang /	'chang_2 ba_9 dang_12 
K04D0012_H0011:76b-28	klog pa dang /	klog_0 ba_5 dang_8 
K04D0012_H0011:76b-29	kun chub par byed pa dang /	kun_0 chub_4 ba_9 byed_13 ba_18 dang_21 
K04D0012_H0011:76b-30	rab tu 'don pa dang /	rab_0 tu_4 'don_7 ba_12 dang_15 
K04D0012_H0011:76b-31	ston pa dang /	ston_0 ba_5 dang_8 
K04D0012_H0011:76b-32	nye bar ston pa dang /	nye_0 ba_4 ston_8 ba_13 dang_16 
K04D0012_H0011:76b-33	lung 'bogs pa dang /	lung_0 'bogs_5 ba_11 dang_14 
K04D0012_H0011:77a-0	kha ton byed par 'gyur ba @77a *//	kha_0 ton_4 byed_8 ba_13 'gyur_17 ba_23 
K04D0012_H0011:77a-1	des tshe 'di la yon tan 'di dag kyang yongs su 'dzin par 'gyur ro //	des_0 tshe_4 'di_9 la_13 yon_16 tan_20 'di_24 'dag_28 kyang_32 yongs_38 su_44 'dzin_47 ba_53 'gyur_57 ro_63 
K04D0012_H0011:77a-2	koo shi ka /	koo_0 'chi_4 ka_8 
K04D0012_H0011:77a-3	gzhan yang rigs kyi bu'am rigs kyi bu mo dag pha ma dang /	gzhan_0 yang_6 rigs_11 kyi_16 bu_20 rigs_26 kyi_31 bu_35 mo_38 'dag_41 pha_45 ma_49 dang_52 
K04D0012_H0011:77a-4	mdza' bo dang /	mdza'_0 'bo_6 dang_9 
K04D0012_H0011:77a-5	blon po dang /	blon_0 po_5 dang_8 
K04D0012_H0011:77a-6	gnyen bshes dang /	gnyen_0 bshes_6 dang_12 
K04D0012_H0011:77a-7	snag gi gnyen mtshams rnams dang /	snag_0 gi_5 gnyen_8 mtshams_14 rnams_22 dang_28 
K04D0012_H0011:77a-8	dge sbyong dang /	dge_0 sbyong_4 dang_11 
K04D0012_H0011:77a-9	bram ze dag la yid du 'ong bar 'gyur ro //	bram_0 ze_5 'dag_8 la_12 yid_15 du_19 'ong_22 ba_27 'gyur_31 ro_37 
K04D0012_H0011:77a-10	de la pha rol rgol ba byung zhing skyes pa	de_0 la_3 pha_6 rol_10 rgol_14 ba_19 'byung_22 zhing_28 skye_34 ba_40 
K04D0012_H0011:77a-11	dag chos dang ldan pas tshar gcod pa la stobs	'dag_0 chos_4 dang_9 ldan_14 ba_19 tshar_23 gcod_29 ba_34 la_37 stobs_40 
K04D0012_H0011:77a-12	yod cing nus pa yod par 'gyur te /	yod_0 cing_4 nus_9 ba_13 yod_16 ba_20 'gyur_24 te_30 
K04D0012_H0011:77a-13	pha rol gyis brgal ba na'ang brgal ba la lung ston nus par 'gyur ro //	pha_0 rol_4 gyis_8 rgol_13 ba_19 na_22 rgol_29 ba_35 la_38 lung_41 ston_46 nus_51 ba_55 'gyur_59 ro_65 
K04D0012_H0011:77a-14	koo shi ka /	koo_0 'chi_4 ka_8 
K04D0012_H0011:77a-15	rigs kyi bu'am rigs kyi bu mo gang shes rab	rigs_0 kyi_5 bu_9 rigs_15 kyi_20 bu_24 mo_27 gang_30 shes_35 rab_40 
K04D0012_H0011:77a-16	kyi pha rol tu phyin pa 'di 'dzin pa dang	kyi_0 pha_4 rol_8 tu_12 phyin_15 ba_21 'di_24 'dzin_28 ba_34 dang_37 
K04D0012_H0011:77a-17	/ 'chang ba dang /	'chang_2 ba_9 dang_12 
K04D0012_H0011:77a-18	klog pa dang /	klog_0 ba_5 dang_8 
K04D0012_H0011:77a-19	kun chub par byed pa dang /	kun_0 chub_4 ba_9 byed_13 ba_18 dang_21 
K04D0012_H0011:77a-20	rab tu 'don pa dang /	rab_0 tu_4 'don_7 ba_12 dang_15 
K04D0012_H0011:77a-21	ston pa dang /	ston_0 ba_5 dang_8 
K04D0012_H0011:77a-22	nye bar ston pa dang /	nye_0 ba_4 ston_8 ba_13 dang_16 
K04D0012_H0011:77a-23	lung 'bogs pa dang /	lung_0 'bogs_5 ba_11 dang_14 
K04D0012_H0011:77a-24	kha ton byed par 'gyur ba'i rigs kyi bu'am rigs	kha_0 ton_4 byed_8 ba_13 'gyur_17 ba_23 rigs_28 kyi_33 bu_37 rigs_43 
K04D0012_H0011:77a-25	kyi bu mo des tshe 'di la yon tan 'di	kyi_0 bu_4 mo_7 des_10 tshe_14 'di_19 la_23 yon_26 tan_30 'di_34 
K04D0012_H0011:77a-26	dag kyang yongs su 'dzin par 'gyur ro //	'dag_0 kyang_4 yongs_10 su_16 'dzin_19 ba_25 'gyur_29 ro_35 
K04D0012_H0011:77a-27	koo shi ka /	koo_0 'chi_4 ka_8 
K04D0012_H0011:77a-28	yang rigs kyi bu'am rigs kyi bu mo des phyogs	yang_0 rigs_5 kyi_10 bu_14 rigs_20 kyi_25 bu_29 mo_32 des_35 phyogs_39 
K04D0012_H0011:77a-29	gang du shes rab kyi pha rol tu phyin pa	gang_0 du_5 shes_8 rab_13 kyi_17 pha_21 rol_25 tu_29 phyin_32 ba_38 
K04D0012_H0011:77a-30	'di bris nas glegs bam du chud par byas te	'di_0 'bri_4 nas_9 glegs_13 bam_19 du_23 chud_26 ba_31 byed_35 te_40 
K04D0012_H0011:77a-31	mchod pa sngon du 'gro bas bzhag par 'gyur ba	mchod_0 ba_6 sngon_9 du_15 'gro_18 ba_23 'jog_27 ba_33 'gyur_37 ba_43 
K04D0012_H0011:77a-32	der koo shi ka /	der_0 koo_4 'chi_8 ka_12 
K04D0012_H0011:77a-33	rgyal chen bzhi'i ris kyi lha dag gi nang na	rgyal_0 chen_6 bzhi_11 ris_18 kyi_22 lha_26 'dag_30 gi_34 nang_37 na_42 
K04D0012_H0011:77a-34	lha'i bu gang su dag bla na med pa yang	lha_0 bu_6 gang_9 su_14 'dag_17 bla_21 na_25 med_28 ba_32 yang_35 
K04D0012_H0011:77a-35	dag par rdzogs pa'i byang chub tu yang dag par	'dag_0 ba_4 rdzogs_8 ba_15 byang_20 chub_26 tu_31 yang_34 'dag_39 ba_43 
K04D0012_H0011:77b-0	zhugs pa de dag kyang der 'ong bar sems @77b	'jug_0 ba_6 de_9 'dag_12 kyang_16 der_22 'ong_26 ba_31 sems_35 
K04D0012_H0011:77b-1	te; de dag kyang der 'ong nas shes rab kyi	te;_0 de_4 'dag_7 kyang_11 der_17 'ong_21 nas_26 shes_30 rab_35 kyi_39 
K04D0012_H0011:77b-2	pha rol tu phyin pa 'di glegs bam du chud	pha_0 rol_4 tu_8 phyin_11 ba_17 'di_20 glegs_24 bam_30 du_34 chud_37 
K04D0012_H0011:77b-3	pa la lta bar 'gyur /	ba_0 la_3 lta_6 ba_10 'gyur_14 
K04D0012_H0011:77b-4	phyag 'tshal bar 'gyur /	phyag_0 'tshal_6 ba_13 'gyur_17 
K04D0012_H0011:77b-5	'dud pa byed par 'gyur /	'dud_0 ba_5 byed_8 ba_13 'gyur_17 
K04D0012_H0011:77b-6	'dzin par 'gyur /	'dzin_0 ba_6 'gyur_10 
K04D0012_H0011:77b-7	'chang bar 'gyur /	'chang_0 ba_7 'gyur_11 
K04D0012_H0011:77b-8	klog par 'gyur /	klog_0 ba_5 'gyur_9 
K04D0012_H0011:77b-9	kun chub par byed par 'gyur /	kun_0 chub_4 ba_9 byed_13 ba_18 'gyur_22 
K04D0012_H0011:77b-10	rab tu 'don par 'gyur /	rab_0 tu_4 'don_7 ba_12 'gyur_16 
K04D0012_H0011:77b-11	ston par 'gyur /	ston_0 ba_5 'gyur_9 
K04D0012_H0011:77b-12	nye bar ston par 'gyur /	nye_0 ba_4 ston_8 ba_13 'gyur_17 
K04D0012_H0011:77b-13	lung 'bogs par 'gyur /	lung_0 'bogs_5 ba_11 'gyur_15 
K04D0012_H0011:77b-14	kha ton byed par 'gyur te /	kha_0 ton_4 byed_8 ba_13 'gyur_17 te_23 
K04D0012_H0011:77b-15	bltas shing phyag byas nas 'dud pa byas /	lta_0 shing_6 phyag_12 byed_18 nas_23 'dud_27 ba_32 byed_35 
K04D0012_H0011:77b-16	gzung ba byas /	gzung_0 ba_6 byed_9 
K04D0012_H0011:77b-17	bcang ba byas /	'chang_0 ba_6 byed_9 
K04D0012_H0011:77b-18	bklag pa byas /	klog_0 ba_6 byed_9 
K04D0012_H0011:77b-19	kun chub par byas /	kun_0 chub_4 ba_9 byed_13 
K04D0012_H0011:77b-20	rab tu 'don par byas /	rab_0 tu_4 'don_7 ba_12 byed_16 
K04D0012_H0011:77b-21	ston par byas /	ston_0 ba_5 byed_9 
K04D0012_H0011:77b-22	nye bar ston par byas /	nye_0 ba_4 ston_8 ba_13 byed_17 
K04D0012_H0011:77b-23	lung phog cing kha ton byas te yang phyir 'gro bar sems so //	lung_0 'bogs_5 cing_10 kha_15 ton_19 byed_23 te_28 yang_31 phyir_36 'gro_42 ba_47 sems_51 so_56 
K04D0012_H0011:77b-24	koo shi ka /	koo_0 'chi_4 ka_8 
K04D0012_H0011:77b-25	sum cu rtsa gsum pa'i lha dag gi nang na	sum_0 cu_4 rtsa_7 gsum_12 ba_17 lha_22 'dag_26 gi_30 nang_33 na_38 
K04D0012_H0011:77b-26	lha'i bu gang su dag bla na med pa yang	lha_0 bu_6 gang_9 su_14 'dag_17 bla_21 na_25 med_28 ba_32 yang_35 
K04D0012_H0011:77b-27	dag par rdzogs pa'i byang chub tu yang dag par	'dag_0 ba_4 rdzogs_8 ba_15 byang_20 chub_26 tu_31 yang_34 'dag_39 ba_43 
K04D0012_H0011:77b-28	zhugs pa de dag kyang der 'ong bar sems te	'jug_0 ba_6 de_9 'dag_12 kyang_16 der_22 'ong_26 ba_31 sems_35 te_40 
K04D0012_H0011:77b-29	/ de dag kyang der 'ongs nas shes rab kyi	de_2 'dag_5 kyang_9 der_15 'ongs_19 nas_25 shes_29 rab_34 kyi_38 
K04D0012_H0011:77b-30	pha rol tu phyin pa 'di glegs bam du chud	pha_0 rol_4 tu_8 phyin_11 ba_17 'di_20 glegs_24 bam_30 du_34 chud_37 
K04D0012_H0011:77b-31	pa la lta bar 'gyur /	ba_0 la_3 lta_6 ba_10 'gyur_14 
K04D0012_H0011:77b-32	phyag 'tshal bar 'gyur /	phyag_0 'tshal_6 ba_13 'gyur_17 
K04D0012_H0011:77b-33	'dud pa byed par 'gyur /	'dud_0 ba_5 byed_8 ba_13 'gyur_17 
K04D0012_H0011:77b-34	'dzin par 'gyur /	'dzin_0 ba_6 'gyur_10 
K04D0012_H0011:77b-35	'chang bar 'gyur /	'chang_0 ba_7 'gyur_11 
K04D0012_H0011:77b-36	klog par 'gyur /	klog_0 ba_5 'gyur_9 
K04D0012_H0011:77b-37	kun chub par byed par 'gyur /	kun_0 chub_4 ba_9 byed_13 ba_18 'gyur_22 
K04D0012_H0011:77b-38	rab tu 'don par 'gyur /	rab_0 tu_4 'don_7 ba_12 'gyur_16 
K04D0012_H0011:77b-39	ston par 'gyur /	ston_0 ba_5 'gyur_9 
K04D0012_H0011:77b-40	nye bar ston par 'gyur /	nye_0 ba_4 ston_8 ba_13 'gyur_17 
K04D0012_H0011:77b-41	lung 'bogs par 'gyur /	lung_0 'bogs_5 ba_11 'gyur_15 
K04D0012_H0011:77b-42	kha ton byed par 'gyur te /	kha_0 ton_4 byed_8 ba_13 'gyur_17 te_23 
K04D0012_H0011:77b-43	bltas shing phyag byas nas 'dud pa byas /	lta_0 shing_6 phyag_12 byed_18 nas_23 'dud_27 ba_32 byed_35 
K04D0012_H0011:77b-44	gzung ba byas /	gzung_0 ba_6 byed_9 
K04D0012_H0011:77b-45	bcang ba byas /	'chang_0 ba_6 byed_9 
K04D0012_H0011:77b-46	klag pa byas /	klag_0 ba_5 byed_8 
K04D0012_H0011:78a-0	kun chub @78a *//	kun_0 chub_4 
K04D0012_H0011:78a-1	par byas /	ba_0 byed_4 
K04D0012_H0011:78a-2	rab tu 'don par byas /	rab_0 tu_4 'don_7 ba_12 byed_16 
K04D0012_H0011:78a-3	ston par byas /	ston_0 ba_5 byed_9 
K04D0012_H0011:78a-4	nye bar ston par byas /	nye_0 ba_4 ston_8 ba_13 byed_17 
K04D0012_H0011:78a-5	lung phog cing kha ton byas te yang phyir 'gro bar sems so //	lung_0 'bogs_5 cing_10 kha_15 ton_19 byed_23 te_28 yang_31 phyir_36 'gro_42 ba_47 sems_51 so_56 
K04D0012_H0011:78a-6	koo shi ka /	koo_0 'chi_4 ka_8 
K04D0012_H0011:78a-7	'thab bral gyi lha dag gi nang na lha'i bu	'thab_0 'bral_6 gyi_11 lha_15 'dag_19 gi_23 nang_26 na_31 lha_34 bu_40 
K04D0012_H0011:78a-8	gang su dag bla na med pa yang dag par	gang_0 su_5 'dag_8 bla_12 na_16 med_19 ba_23 yang_26 'dag_31 ba_35 
K04D0012_H0011:78a-9	rdzogs pa'i byang chub tu yang dag par zhugs pa	rdzogs_0 ba_7 byang_12 chub_18 tu_23 yang_26 'dag_31 ba_35 'jug_39 ba_45 
K04D0012_H0011:78a-10	de dag kyang der 'ong bar sems te /	de_0 'dag_3 kyang_7 der_13 'ong_17 ba_22 sems_26 te_31 
K04D0012_H0011:78a-11	de dag kyang der 'ongs nas shes rab kyi pha	de_0 'dag_3 kyang_7 der_13 'ongs_17 nas_23 shes_27 rab_32 kyi_36 pha_40 
K04D0012_H0011:78a-12	rol tu phyin pa 'di glegs bam du chud pa	rol_0 tu_4 phyin_7 ba_13 'di_16 glegs_20 bam_26 du_30 chud_33 ba_38 
K04D0012_H0011:78a-13	la lta bar 'gyur /	la_0 lta_3 ba_7 'gyur_11 
K04D0012_H0011:78a-14	phyag 'tshal bar 'gyur /	phyag_0 'tshal_6 ba_13 'gyur_17 
